initial state: ###......#.#........##.###.####......#..#####.####..#.###..#.###.#..#..#.#..#..#.##...#..##......#.#

....... => .
......# => .
.....#. => .
.....## => .
....#.. => .
....#.# => #
....##. => #
....### => #
...#... => .
...#..# => #
...#.#. => .
...#.## => #
...##.. => .
...##.# => #
...###. => .
...#### => #
..#.... => .
..#...# => .
..#..#. => .
..#..## => .
..#.#.. => #
..#.#.# => #
..#.##. => .
..#.### => .
..##... => #
..##..# => #
..##.#. => #
..##.## => #
..###.. => #
..###.# => .
..####. => #
..##### => #
.#..... => .
.#....# => .
.#...#. => .
.#...## => #
.#..#.. => .
.#..#.# => #
.#..##. => #
.#..### => #
.#.#... => #
.#.#..# => .
.#.#.#. => #
.#.#.## => .
.#.##.. => .
.#.##.# => #
.#.###. => #
.#.#### => .
.##.... => .
.##...# => #
.##..#. => #
.##..## => .
.##.#.. => #
.##.#.# => #
.##.##. => #
.##.### => .
.###... => #
.###..# => .
.###.#. => #
.###.## => #
.####.. => .
.####.# => #
.#####. => #
.###### => #
#...... => .
#.....# => .
#....#. => #
#....## => #
#...#.. => #
#...#.# => .
#...##. => #
#...### => #
#..#... => .
#..#..# => #
#..#.#. => .
#..#.## => #
#..##.. => #
#..##.# => #
#..###. => .
#..#### => .
#.#.... => .
#.#...# => .
#.#..#. => #
#.#..## => #
#.#.#.. => .
#.#.#.# => .
#.#.##. => #
#.#.### => #
#.##... => .
#.##..# => .
#.##.#. => #
#.##.## => #
#.###.. => .
#.###.# => .
#.####. => #
#.##### => #
##..... => .
##....# => .
##...#. => #
##...## => #
##..#.. => #
##..#.# => #
##..##. => #
##..### => #
##.#... => .
##.#..# => #
##.#.#. => #
##.#.## => .
##.##.. => .
##.##.# => #
##.###. => .
##.#### => .
###.... => .
###...# => #
###..#. => .
###..## => .
###.#.. => .
###.#.# => .
###.##. => .
###.### => #
####... => .
####..# => #
####.#. => #
####.## => .
#####.. => .
#####.# => #
######. => #
####### => #
